Rhea americana,Rheiformes,,Rheidae,ema,Greater Rhea,NT,
Phaethornis griseogularis,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-de-garganta-cinza,Gray-chinned Hermit,,
Phaethornis ruber,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-rubro,Reddish Hermit,,
Phaethornis subochraceus,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-de-barriga-fulva,Buff-bellied Hermit,,
Phaethornis augusti,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-cinza-claro,Sooty-capped Hermit,,
Phaethornis pretrei,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-acanelado,Planalto Hermit,,
Phaethornis eurynome,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-de-garganta-rajada,Scale-throated Hermit,,
Phaethornis hispidus,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-cinza,White-bearded Hermit,,
Phaethornis philippii,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-amarelo,Needle-billed Hermit,,
Phaethornis bourcieri,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-de-bico-reto,Straight-billed Hermit,,
Phaethornis superciliosus,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-de-bigodes,Long-tailed Hermit,,
Phaethornis malaris,Apodiformes,Phaethornithinae,Trochilidae,besourão-de-bico-grande,Great-billed Hermit,,
Phaethornis margarettae,Apodiformes,Phaethornithinae,Trochilidae,rabo-branco-de-margarette,Margaretta's Hermit,,
Doryfera johannae,Apodiformes,Trochilinae,Trochilidae,bico-de-lança,Blue-fronted Lancebill,,
Campylopterus largipennis,Apodiformes,Trochilinae,Trochilidae,asa-de-sabre-cinza,Gray-breasted Sabrewing,,
Campylopterus hyperythrus,Apodiformes,Trochilinae,Trochilidae,asa-de-sabre-canela,Rufous-breasted Sabrewing,,
Campylopterus duidae,Apodiformes,Trochilinae,Trochilidae,asa-de-sabre-de-peito-camurça,Buff-breasted Sabrewing,,
Eupetomena macroura,Apodiformes,Trochilinae,Trochilidae,beija-flor-tesoura,Swallow-tailed Hummingbird,,
Aphantochroa cirrochloris,Apodiformes,Trochilinae,Trochilidae,beija-flor-cinza,Sombre Hummingbird,,
Florisuga mellivora,Apodiformes,Trochilinae,Trochilidae,beija-flor-azul-de-rabo-branco,White-necked Jacobin,,
Florisuga fusca,Apodiformes,Trochilinae,Trochilidae,beija-flor-preto,Black Jacobin,,
Colibri delphinae,Apodiformes,Trochilinae,Trochilidae,beija-flor-marrom,Brown Violetear,,
Colibri coruscans,Apodiformes,Trochilinae,Trochilidae,beija-flor-violeta,Sparkling Violetear,,
Colibri serrirostris,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-orelha-violeta,White-vented Violetear,,
Anthracothorax viridigula,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-veste-verde,Green-throated Mango,,
Anthracothorax nigricollis,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-veste-preta,Black-throated Mango,,
Avocettula recurvirostris,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-bico-virado,Fiery-tailed Awlbill,,
Topaza pella,Apodiformes,Trochilinae,Trochilidae,beija-flor-brilho-de-fogo,Crimson Topaz,,
Topaza pyra,Apodiformes,Trochilinae,Trochilidae,topázio-de-fogo,Fiery Topaz,,
Chrysolampis mosquitus,Apodiformes,Trochilinae,Trochilidae,beija-flor-vermelho,Ruby-topaz Hummingbird,,
Stephanoxis lalandi,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-topete-verde,Green-crowned Plovercrest,,
Stephanoxis loddigesii,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-topete-azul,Violet-crowned Plovercrest,,
Lophornis ornatus,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-leque-canela,Tufted Coquette,,
Lophornis gouldii,Apodiformes,Trochilinae,Trochilidae,topetinho-do-brasil-central,Dot-eared Coquette,VU,
Lophornis magnificus,Apodiformes,Trochilinae,Trochilidae,topetinho-vermelho,Frilled Coquette,,
Lophornis chalybeus,Apodiformes,Trochilinae,Trochilidae,topetinho-verde,Festive Coquette,NT,
Lophornis pavoninus,Apodiformes,Trochilinae,Trochilidae,topetinho-pavão,Peacock Coquette,,
Discosura langsdorffi,Apodiformes,Trochilinae,Trochilidae,rabo-de-espinho,Black-bellied Thorntail,,
Discosura longicaudus,Apodiformes,Trochilinae,Trochilidae,bandeirinha,Racket-tailed Coquette,,
Chlorestes notata,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-garganta-azul,Blue-chinned Sapphire,,
Chlorostilbon mellisugus,Apodiformes,Trochilinae,Trochilidae,esmeralda-de-cauda-azul,Blue-tailed Emerald,,
Chlorostilbon lucidus,Apodiformes,Trochilinae,Trochilidae,besourinho-de-bico-vermelho,Glittering-bellied Emerald,,
Thalurania furcata,Apodiformes,Trochilinae,Trochilidae,beija-flor-tesoura-verde,Fork-tailed Woodnymph,,
Thalurania watertonii,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-costas-violetas,Long-tailed Woodnymph,EN,
Thalurania glaucopis,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-fronte-violeta,Violet-capped Woodnymph,,
Hylocharis sapphirina,Apodiformes,Trochilinae,Trochilidae,beija-flor-safira,Rufous-throated Sapphire,,
Hylocharis cyanus,Apodiformes,Trochilinae,Trochilidae,beija-flor-roxo,White-chinned Sapphire,,
Hylocharis chrysura,Apodiformes,Trochilinae,Trochilidae,beija-flor-dourado,Gilded Hummingbird,,
Chrysuronia oenone,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-cauda-dourada,Golden-tailed Sapphire,,
Leucochloris albicollis,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-papo-branco,White-throated Hummingbird,,
Polytmus guainumbi,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-bico-curvo,White-tailed Goldenthroat,,
Polytmus theresiae,Apodiformes,Trochilinae,Trochilidae,beija-flor-verde,Green-tailed Goldenthroat,,
Leucippus chlorocercus,Apodiformes,Trochilinae,Trochilidae,beija-flor-pintado,Olive-spotted Hummingbird,,
Amazilia chionogaster,Apodiformes,Trochilinae,Trochilidae,beija-flor-verde-e-branco,White-bellied Hummingbird,,
Amazilia leucogaster,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-barriga-branca,Plain-bellied Emerald,,
Amazilia versicolor,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-banda-branca,Versicolored Emerald,,
Amazilia rondoniae,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-cabeça-azul,Blue-green Emerald,,
Amazilia brevirostris,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-bico-preto,White-chested Emerald,,
Amazilia fimbriata,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-garganta-verde,Glittering-throated Emerald,,
Amazilia lactea,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-peito-azul,Sapphire-spangled Emerald,,
Amazilia viridigaster,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-barriga-verde,Green-bellied Hummingbird,,
Heliodoxa rubricauda,Apodiformes,Trochilinae,Trochilidae,beija-flor-rubi,Brazilian Ruby,,
Heliodoxa xanthogonys,Apodiformes,Trochilinae,Trochilidae,brilhante-veludo,Velvet-browed Brilliant,,
Heliodoxa schreibersii,Apodiformes,Trochilinae,Trochilidae,brilhante-de-garganta-preta,Black-throated Brilliant,,
Heliodoxa aurescens,Apodiformes,Trochilinae,Trochilidae,beija-flor-estrela,Gould's Jewelfront,,
Augastes scutatus,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-gravata-verde,Hyacinth Visorbearer,,
Augastes lumachella,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-gravata-vermelha,Hooded Visorbearer,NT,
Heliothryx auritus,Apodiformes,Trochilinae,Trochilidae,beija-flor-de-bochecha-azul,Black-eared Fairy,,
Heliactin bilophus,Apodiformes,Trochilinae,Trochilidae,chifre-de-ouro,Horned Sungem,,
Heliomaster longirostris,Apodiformes,Trochilinae,Trochilidae,bico-reto-cinzento,Long-billed Starthroat,,
Heliomaster squamosus,Apodiformes,Trochilinae,Trochilidae,bico-reto-de-banda-branca,Stripe-breasted Starthroat,,
Heliomaster furcifer,Apodiformes,Trochilinae,Trochilidae,bico-reto-azul,Blue-tufted Starthroat,,
Calliphlox amethystina,Apodiformes,Trochilinae,Trochilidae,estrelinha-ametista,Amethyst Woodstar,,
Trogon melanurus,Trogoniformes,Trochilinae,Trogonidae,surucuá-de-cauda-preta,Black-tailed Trogon,,
Trogon viridis,Trogoniformes,Trochilinae,Trogonidae,surucuá-de-barriga-amarela,Green-backed Trogon,,
Trogon ramonianus,Trogoniformes,Trochilinae,Trogonidae,surucuá-pequeno,Amazonian Trogon,,
Trogon surrucura,Trogoniformes,Trochilinae,Trogonidae,surucuá-variado,Surucua Trogon,,
Trogon violaceus,Trogoniformes,Trochilinae,Trogonidae,surucuá-violáceo,Guianan Trogon,,
Trogon curucui,Trogoniformes,Trochilinae,Trogonidae,surucuá-de-barriga-vermelha,Blue-crowned Trogon,,
Trogon rufus,Trogoniformes,Trochilinae,Trogonidae,surucuá-dourado,Black-throated Trogon,,
Trogon collaris,Trogoniformes,Trochilinae,Trogonidae,surucuá-de-coleira,Collared Trogon,,
Trogon personatus,Trogoniformes,Trochilinae,Trogonidae,surucuá-mascarado,Masked Trogon,,
Pharomachrus pavoninus,Trogoniformes,Trochilinae,Trogonidae,quetzal-pavão,Pavonine Quetzal,,
Megaceryle torquata,Coraciiformes,Trochilinae,Alcedinidae,martim-pescador-grande,Ringed Kingfisher,,
Chloroceryle amazona,Coraciiformes,Trochilinae,Alcedinidae,martim-pescador-verde,Amazon Kingfisher,,
Chloroceryle aenea,Coraciiformes,Trochilinae,Alcedinidae,martim-pescador-miúdo,American Pygmy Kingfisher,,
Chloroceryle americana,Coraciiformes,Trochilinae,Alcedinidae,martim-pescador-pequeno,Green Kingfisher,,
Chloroceryle inda,Coraciiformes,Trochilinae,Alcedinidae,martim-pescador-da-mata,Green-and-rufous Kingfisher,,
Electron platyrhynchum,Coraciiformes,Trochilinae,Momotidae,udu-de-bico-largo,Broad-billed Motmot,,
Baryphthengus martii,Coraciiformes,Trochilinae,Momotidae,juruva-ruiva,Rufous Motmot,,
Baryphthengus ruficapillus,Coraciiformes,Trochilinae,Momotidae,juruva,Rufous-capped Motmot,,
Momotus momota,Coraciiformes,Trochilinae,Momotidae,udu,Amazonian Motmot,,
Galbalcyrhynchus leucotis,Galbuliformes,Trochilinae,Galbulidae,ariramba-vermelha,White-eared Jacamar,,
Galbalcyrhynchus purusianus,Galbuliformes,Trochilinae,Galbulidae,ariramba-castanha,Purus Jacamar,,
Brachygalba albogularis,Galbuliformes,Trochilinae,Galbulidae,agulha-de-garganta-branca,White-throated Jacamar,,
Brachygalba lugubris,Galbuliformes,Trochilinae,Galbulidae,ariramba-preta,Brown Jacamar,,
Jacamaralcyon tridactyla,Galbuliformes,Trochilinae,Galbulidae,cuitelão,Three-toed Jacamar,VU,
Galbula albirostris,Galbuliformes,Trochilinae,Galbulidae,ariramba-de-bico-amarelo,Yellow-billed Jacamar,,
Galbula cyanicollis,Galbuliformes,Trochilinae,Galbulidae,ariramba-da-mata,Blue-cheeked Jacamar,,
Galbula ruficauda,Galbuliformes,Trochilinae,Galbulidae,ariramba,Rufous-tailed Jacamar,,
Galbula galbula,Galbuliformes,Trochilinae,Galbulidae,ariramba-de-cauda-verde,Green-tailed Jacamar,,
Galbula tombacea,Galbuliformes,Trochilinae,Galbulidae,ariramba-de-barba-branca,White-chinned Jacamar,,
Galbula cyanescens,Galbuliformes,Trochilinae,Galbulidae,ariramba-da-capoeira,Bluish-fronted Jacamar,,
Galbula chalcothorax,Galbuliformes,Trochilinae,Galbulidae,ariramba-violácea,Purplish Jacamar,,
Galbula leucogastra,Galbuliformes,Trochilinae,Galbulidae,ariramba-bronzeada,Bronzy Jacamar,,
Galbula dea,Galbuliformes,Trochilinae,Galbulidae,ariramba-do-paraíso,Paradise Jacamar,,
Jacamerops aureus,Galbuliformes,Trochilinae,Galbulidae,jacamaraçu,Great Jacamar,,
Notharchus hyperrhynchus,Galbuliformes,Trochilinae,Bucconidae,macuru-de-testa-branca,White-necked Puffbird,,
Notharchus macrorhynchos,Galbuliformes,Trochilinae,Bucconidae,macuru-de-pescoço-branco,Guianan Puffbird,,
Notharchus swainsoni,Galbuliformes,Trochilinae,Bucconidae,macuru-de-barriga-castanha,Buff-bellied Puffbird,,
Notharchus ordii,Galbuliformes,Trochilinae,Bucconidae,macuru-de-peito-marrom,Brown-banded Puffbird,,
Notharchus tectus,Galbuliformes,Trochilinae,Bucconidae,macuru-pintado,Pied Puffbird,,
Bucco macrodactylus,Galbuliformes,Trochilinae,Bucconidae,rapazinho-de-boné-vermelho,Chestnut-capped Puffbird,,
Bucco tamatia,Galbuliformes,Trochilinae,Bucconidae,rapazinho-carijó,Spotted Puffbird,,
Bucco capensis,Galbuliformes,Trochilinae,Bucconidae,rapazinho-de-colar,Collared Puffbird,,
Nystalus obamai,Galbuliformes,Trochilinae,Bucconidae,rapazinho-estriado-do-oeste,Western Striolated-Puffbird,,
Nystalus striolatus,Galbuliformes,Trochilinae,Bucconidae,rapazinho-estriado-de-rondônia,Natterer's Striolated Puffbird,,
Nystalus torridus,Galbuliformes,Trochilinae,Bucconidae,rapazinho-estriado-do-leste,Eastern Striolated-Puffbird,,
Nystalus chacuru,Galbuliformes,Trochilinae,Bucconidae,joão-bobo,White-eared Puffbird,,
Nystalus maculatus,Galbuliformes,Trochilinae,Bucconidae,rapazinho-dos-velhos,Spot-backed Puffbird,,
Nystalus striatipectus,Galbuliformes,Trochilinae,Bucconidae,rapazinho-do-chaco,Chaco Puffbird,,
Malacoptila fusca,Galbuliformes,Trochilinae,Bucconidae,barbudo-pardo,White-chested Puffbird,,
Malacoptila semicincta,Galbuliformes,Trochilinae,Bucconidae,barbudo-de-coleira,Semicollared Puffbird,,
Malacoptila striata,Galbuliformes,Trochilinae,Bucconidae,barbudo-rajado,Crescent-chested Puffbird,NT,
Malacoptila rufa,Galbuliformes,Trochilinae,Bucconidae,barbudo-de-pescoço-ferrugem,Rufous-necked Puffbird,,
Micromonacha lanceolata,Galbuliformes,Trochilinae,Bucconidae,macuru-papa-mosca,Lanceolated Monklet,,
Nonnula rubecula,Galbuliformes,Trochilinae,Bucconidae,macuru,Rusty-breasted Nunlet,,
Nonnula sclateri,Galbuliformes,Trochilinae,Bucconidae,freirinha-amarelada,Fulvous-chinned Nunlet,,
Nonnula ruficapilla,Galbuliformes,Trochilinae,Bucconidae,freirinha-de-coroa-castanha,Rufous-capped Nunlet,,
Nonnula amaurocephala,Galbuliformes,Trochilinae,Bucconidae,freirinha-de-cabeça-castanha,Chestnut-headed Nunlet,,
Monasa atra,Galbuliformes,Trochilinae,Bucconidae,chora-chuva-de-asa-branca,Black Nunbird,,
Monasa nigrifrons,Galbuliformes,Trochilinae,Bucconidae,chora-chuva-preto,Black-fronted Nunbird,,
Monasa morphoeus,Galbuliformes,Trochilinae,Bucconidae,chora-chuva-de-cara-branca,White-fronted Nunbird,,
Monasa flavirostris,Galbuliformes,Trochilinae,Bucconidae,chora-chuva-de-bico-amarelo,Yellow-billed Nunbird,,
Chelidoptera tenebrosa,Galbuliformes,Trochilinae,Bucconidae,urubuzinho,Swallow-winged Puffbird,,
Capito aurovirens,Piciformes,Trochilinae,Capitonidae,capitão-de-coroa,Scarlet-crowned Barbet,,
Capito dayi,Piciformes,Trochilinae,Capitonidae,capitão-de-cinta,Black-girdled Barbet,VU,
Capito brunneipectus,Piciformes,Trochilinae,Capitonidae,capitão-de-peito-marrom,Brown-chested Barbet,,
Capito niger,Piciformes,Trochilinae,Capitonidae,capitão-de-bigode-carijó,Black-spotted Barbet,,
Capito auratus,Piciformes,Trochilinae,Capitonidae,capitão-de-fronte-dourada,Gilded Barbet,,
Eubucco richardsoni,Piciformes,Trochilinae,Capitonidae,capitão-de-bigode-limão,Lemon-throated Barbet,,
Eubucco tucinkae,Piciformes,Trochilinae,Capitonidae,capitão-de-colar-amarelo,Scarlet-hooded Barbet,,
Ramphastos toco,Piciformes,Trochilinae,Ramphastidae,tucanuçu,Toco Toucan,,
Ramphastos tucanus,Piciformes,Trochilinae,Ramphastidae,tucano-de-papo-branco,White-throated Toucan,VU,
Ramphastos vitellinus,Piciformes,Trochilinae,Ramphastidae,tucano-de-bico-preto,Channel-billed Toucan,VU,
Ramphastos dicolorus,Piciformes,Trochilinae,Ramphastidae,tucano-de-bico-verde,Red-breasted Toucan,,
Aulacorhynchus atrogularis,Piciformes,Trochilinae,Ramphastidae,tucaninho-de-nariz-amarelo,Black-throated Toucanet,,
Aulacorhynchus whitelianus,Piciformes,Trochilinae,Ramphastidae,tucaninho-verde,Tepui Toucanet,,
Selenidera piperivora,Piciformes,Trochilinae,Ramphastidae,araçari-negro,Guianan Toucanet,,
Selenidera reinwardtii,Piciformes,Trochilinae,Ramphastidae,saripoca-de-coleira,Golden-collared Toucanet,,
Selenidera nattereri,Piciformes,Trochilinae,Ramphastidae,saripoca-de-bico-castanho,Tawny-tufted Toucanet,,
Selenidera gouldii,Piciformes,Trochilinae,Ramphastidae,saripoca-de-gould,Gould's Toucanet,,
Selenidera maculirostris,Piciformes,Trochilinae,Ramphastidae,araçari-poca,Spot-billed Toucanet,,
Pteroglossus bailloni,Piciformes,Trochilinae,Ramphastidae,araçari-banana,Saffron Toucanet,NT,
Pteroglossus viridis,Piciformes,Trochilinae,Ramphastidae,araçari-miudinho,Green Aracari,,
Pteroglossus inscriptus,Piciformes,Trochilinae,Ramphastidae,araçari-de-bico-riscado,Lettered Aracari,,
Pteroglossus bitorquatus,Piciformes,Trochilinae,Ramphastidae,araçari-de-pescoço-vermelho,Red-necked Aracari,EN,
Pteroglossus azara,Piciformes,Trochilinae,Ramphastidae,araçari-de-bico-de-marfim,Ivory-billed Aracari,,
Pteroglossus flavirostris,Piciformes,Trochilinae,Ramphastidae,araçari-de-bico-amarelo,Yellow-billed Aracari,,
Pteroglossus mariae,Piciformes,Trochilinae,Ramphastidae,araçari-de-bico-marrom,Brown-mandibled Aracari,,
Pteroglossus aracari,Piciformes,Trochilinae,Ramphastidae,araçari-de-bico-branco,Black-necked Aracari,,
Pteroglossus castanotis,Piciformes,Trochilinae,Ramphastidae,araçari-castanho,Chestnut-eared Aracari,,
Pteroglossus pluricinctus,Piciformes,Trochilinae,Ramphastidae,araçari-de-cinta-dupla,Many-banded Aracari,,
Pteroglossus beauharnaisii,Piciformes,Trochilinae,Ramphastidae,araçari-mulato,Curl-crested Aracari,,
Picumnus aurifrons,Piciformes,Trochilinae,Picidae,picapauzinho-dourado,Bar-breasted Piculet,,
Picumnus pumilus,Piciformes,Trochilinae,Picidae,picapauzinho-do-orinoco,Orinoco Piculet,,
Picumnus lafresnayi,Piciformes,Trochilinae,Picidae,picapauzinho-do-amazonas,Lafresnaye's Piculet,,
Picumnus undulatus,Piciformes,Trochilinae,Picidae,picapauzinho-ondulado,Undulated Piculet,,
Picumnus buffonii,Piciformes,Trochilinae,Picidae,picapauzinho-de-costas-pintadas,Buffon's Piculet,,
Picumnus pernambucensis,Piciformes,Trochilinae,Picidae,picapauzinho-de-pernambuco,Pernambuco Piculet,,
Picumnus exilis,Piciformes,Trochilinae,Picidae,picapauzinho-de-pintas-amarelas,Bahia Piculet,,
Picumnus spilogaster,Piciformes,Trochilinae,Picidae,picapauzinho-de-pescoço-branco,White-bellied Piculet,VU,
Picumnus pygmaeus,Piciformes,Trochilinae,Picidae,picapauzinho-pintado,Spotted Piculet,,
Picumnus varzeae,Piciformes,Trochilinae,Picidae,picapauzinho-da-várzea,Varzea Piculet,EN,
Picumnus cirratus,Piciformes,Trochilinae,Picidae,picapauzinho-barrado,White-barred Piculet,,
Picumnus temminckii,Piciformes,Trochilinae,Picidae,picapauzinho-de-coleira,Ochre-collared Piculet,,
Picumnus albosquamatus,Piciformes,Trochilinae,Picidae,picapauzinho-escamoso,White-wedged Piculet,,
Picumnus fuscus,Piciformes,Trochilinae,Picidae,picapauzinho-fusco,Rusty-necked Piculet,,
Picumnus rufiventris,Piciformes,Trochilinae,Picidae,picapauzinho-vermelho,Rufous-breasted Piculet,,
Picumnus fulvescens,Piciformes,Trochilinae,Picidae,picapauzinho-canela,Tawny Piculet,NT,
Picumnus limae,Piciformes,Trochilinae,Picidae,picapauzinho-da-caatinga,Ochraceous Piculet,,
Picumnus nebulosus,Piciformes,Trochilinae,Picidae,picapauzinho-carijó,Mottled Piculet,NT,
Picumnus castelnau,Piciformes,Trochilinae,Picidae,picapauzinho-creme,Plain-breasted Piculet,,
Picumnus subtilis,Piciformes,Trochilinae,Picidae,picapauzinho-de-barras-finas,Fine-barred Piculet,,
Melanerpes candidus,Piciformes,Trochilinae,Picidae,pica-pau-branco,White Woodpecker,,
Melanerpes cruentatus,Piciformes,Trochilinae,Picidae,benedito-de-testa-vermelha,Yellow-tufted Woodpecker,,
Melanerpes flavifrons,Piciformes,Trochilinae,Picidae,benedito-de-testa-amarela,Yellow-fronted Woodpecker,,
Melanerpes cactorum,Piciformes,Trochilinae,Picidae,pica-pau-de-testa-branca,White-fronted Woodpecker,,
Veniliornis kirkii,Piciformes,Trochilinae,Picidae,pica-pau-de-sobre-vermelho,Red-rumped Woodpecker,,
Veniliornis cassini,Piciformes,Trochilinae,Picidae,pica-pau-de-colar-dourado,Golden-collared Woodpecker,,
Veniliornis affinis,Piciformes,Trochilinae,Picidae,picapauzinho-avermelhado,Red-stained Woodpecker,,
Veniliornis maculifrons,Piciformes,Trochilinae,Picidae,picapauzinho-de-testa-pintada,Yellow-eared Woodpecker,,
Veniliornis passerinus,Piciformes,Trochilinae,Picidae,pica-pau-pequeno,Little Woodpecker,,
Veniliornis spilogaster,Piciformes,Trochilinae,Picidae,picapauzinho-verde-carijó,White-spotted Woodpecker,,
Veniliornis mixtus,Piciformes,Trochilinae,Picidae,pica-pau-chorão,Checkered Woodpecker,,
Piculus leucolaemus,Piciformes,Trochilinae,Picidae,pica-pau-de-garganta-branca,White-throated Woodpecker,,
Piculus flavigula,Piciformes,Trochilinae,Picidae,pica-pau-bufador,Yellow-throated Woodpecker,,
Piculus capistratus,Piciformes,Trochilinae,Picidae,pica-pau-de-garganta-barrada,Bar-throated Woodpecker,,
Piculus laemostictus,Piciformes,Trochilinae,Picidae,pica-pau-de-garganta-pintada,Spot-throated Woodpecker,,
Piculus paraensis,Piciformes,Trochilinae,Picidae,pica-pau-dourado-de-belém,Belem Woodpecker,,
Piculus chrysochloros,Piciformes,Trochilinae,Picidae,pica-pau-dourado-escuro,Golden-green Woodpecker,,
Piculus polyzonus,Piciformes,Trochilinae,Picidae,pica-pau-dourado-grande,Atlantic Woodpecker,,
Piculus aurulentus,Piciformes,Trochilinae,Picidae,pica-pau-dourado,White-browed Woodpecker,NT,
Colaptes rubiginosus,Piciformes,Trochilinae,Picidae,pica-pau-oliváceo,Golden-olive Woodpecker,,
Colaptes punctigula,Piciformes,Trochilinae,Picidae,pica-pau-de-peito-pontilhado,Spot-breasted Woodpecker,,
Colaptes melanochloros,Piciformes,Trochilinae,Picidae,pica-pau-verde-barrado,Green-barred Woodpecker,,
Colaptes campestris,Piciformes,Trochilinae,Picidae,pica-pau-do-campo,Campo Flicker,,
Celeus torquatus,Piciformes,Trochilinae,Picidae,pica-pau-de-coleira,Ringed Woodpecker,NT,
Celeus galeatus,Piciformes,Trochilinae,Picidae,pica-pau-de-cara-canela,Helmeted Woodpecker,VU,
Celeus ochraceus,Piciformes,Trochilinae,Picidae,pica-pau-ocráceo,Ochre-backed Woodpecker,,
Celeus flavescens,Piciformes,Trochilinae,Picidae,pica-pau-de-cabeça-amarela,Blond-crested Woodpecker,,
Celeus elegans,Piciformes,Trochilinae,Picidae,pica-pau-chocolate,Chestnut Woodpecker,,
Celeus lugubris,Piciformes,Trochilinae,Picidae,pica-pau-louro,Pale-crested Woodpecker,,
Celeus undatus,Piciformes,Trochilinae,Picidae,pica-pau-barrado,Waved Woodpecker,,
Celeus grammicus,Piciformes,Trochilinae,Picidae,picapauzinho-chocolate,Scale-breasted Woodpecker,,
Celeus flavus,Piciformes,Trochilinae,Picidae,pica-pau-amarelo,Cream-colored Woodpecker,,
Celeus spectabilis,Piciformes,Trochilinae,Picidae,pica-pau-lindo,Rufous-headed Woodpecker,,
Celeus obrieni,Piciformes,Trochilinae,Picidae,pica-pau-do-parnaíba,Kaempfer's Woodpecker,VU,
Dryocopus lineatus,Piciformes,Trochilinae,Picidae,pica-pau-de-banda-branca,Lineated Woodpecker,,
Campephilus rubricollis,Piciformes,Trochilinae,Picidae,pica-pau-de-barriga-vermelha,Red-necked Woodpecker,,
Campephilus robustus,Piciformes,Trochilinae,Picidae,pica-pau-rei,Robust Woodpecker,,
Campephilus melanoleucos,Piciformes,Trochilinae,Picidae,pica-pau-de-topete-vermelho,Crimson-crested Woodpecker,,
Campephilus leucopogon,Piciformes,Trochilinae,Picidae,pica-pau-de-barriga-preta,Cream-backed Woodpecker,,
Cariama cristata,Cariamiformes,Trochilinae,Cariamidae,seriema,Red-legged Seriema,,
Daptrius ater,Falconiformes,Trochilinae,Falconidae,gavião-de-anta,Black Caracara,,
Ibycter americanus,Falconiformes,Trochilinae,Falconidae,cancão,Red-throated Caracara,,
Caracara cheriway,Falconiformes,Trochilinae,Falconidae,carcará-do-norte,Crested Caracara,,
Caracara plancus,Falconiformes,Trochilinae,Falconidae,carcará,Southern Caracara,,
Milvago chimachima,Falconiformes,Trochilinae,Falconidae,carrapateiro,Yellow-headed Caracara,,
Milvago chimango,Falconiformes,Trochilinae,Falconidae,chimango,Chimango Caracara,,
Herpetotheres cachinnans,Falconiformes,Trochilinae,Falconidae,acauã,Laughing Falcon,,
Micrastur ruficollis,Falconiformes,Trochilinae,Falconidae,falcão-caburé,Barred Forest-Falcon,,
Micrastur gilvicollis,Falconiformes,Trochilinae,Falconidae,falcão-mateiro,Lined Forest-Falcon,,
Micrastur mintoni,Falconiformes,Trochilinae,Falconidae,falcão-críptico,Cryptic Forest-Falcon,,
Micrastur mirandollei,Falconiformes,Trochilinae,Falconidae,tanatau,Slaty-backed Forest-Falcon,,
Micrastur semitorquatus,Falconiformes,Trochilinae,Falconidae,falcão-relógio,Collared Forest-Falcon,,
Micrastur buckleyi,Falconiformes,Trochilinae,Falconidae,falcão-de-buckley,Buckley's Forest-Falcon,,
Falco tinnunculus,Falconiformes,Trochilinae,Falconidae,peneireiro-de-dorso-malhado,Eurasian Kestrel,,
Falco sparverius,Falconiformes,Trochilinae,Falconidae,quiriquiri,American Kestrel,,
Falco columbarius,Falconiformes,Trochilinae,Falconidae,esmerilhão,American Merlin,,
Falco aesalon,Falconiformes,Trochilinae,Falconidae,esmerilhão-europeu,Eurasian Merlin,,
Falco rufigularis,Falconiformes,Trochilinae,Falconidae,cauré,Bat Falcon,,
Falco deiroleucus,Falconiformes,Trochilinae,Falconidae,falcão-de-peito-laranja,Orange-breasted Falcon,NT,
Falco femoralis,Falconiformes,Trochilinae,Falconidae,falcão-de-coleira,Aplomado Falcon,,
Falco peregrinus,Falconiformes,Trochilinae,Falconidae,falcão-peregrino,Peregrine Falcon,,
Anodorhynchus hyacinthinus,Psittaciformes,Trochilinae,Psittacidae,arara-azul,Hyacinth Macaw,VU,
Anodorhynchus glaucus,Psittaciformes,Trochilinae,Psittacidae,arara-azul-pequena,Glaucous Macaw,CR,
Anodorhynchus leari,Psittaciformes,Trochilinae,Psittacidae,arara-azul-de-lear,Indigo Macaw,EN,
