Rhea americana,Rheiformes,,Rheidae,ema,Greater Rhea,NT,
Thalassarche chrysostoma,Procellariiformes,Anatinae,Diomedeidae,albatroz-de-cabeça-cinza,Gray-headed Albatross,EN,
Thalassarche cauta,Procellariiformes,Anatinae,Diomedeidae,albatroz-arisco,White-capped Albatross,NT,
Diomedea epomophora,Procellariiformes,Anatinae,Diomedeidae,albatroz-real,Royal Albatross,VU,
Diomedea sanfordi,Procellariiformes,Anatinae,Diomedeidae,albatroz-real-do-norte,Northern Royal Albatross,EN,
Diomedea exulans,Procellariiformes,Anatinae,Diomedeidae,albatroz-errante,Wandering Albatross,VU,
Diomedea dabbenena,Procellariiformes,Anatinae,Diomedeidae,albatroz-de-tristão,Tristan Albatross,CR,
Macronectes giganteus,Procellariiformes,Anatinae,Procellariidae,petrel-grande,Southern Giant-Petrel,,
Macronectes halli,Procellariiformes,Anatinae,Procellariidae,petrel-grande-do-norte,Northern Giant-Petrel,,
Fulmarus glacialoides,Procellariiformes,Anatinae,Procellariidae,pardelão-prateado,Southern Fulmar,,
Daption capense,Procellariiformes,Anatinae,Procellariidae,pomba-do-cabo,Cape Petrel,,
Lugensa brevirostris,Procellariiformes,Anatinae,Procellariidae,grazina-de-bico-curto,Kerguelen Petrel,,
Pterodroma madeira,Procellariiformes,Anatinae,Procellariidae,grazina-da-madeira,Zino's Petrel,EN,
Pterodroma deserta,Procellariiformes,Anatinae,Procellariidae,grazina-de-desertas,Desertas Petrel,VU,
Pterodroma mollis,Procellariiformes,Anatinae,Procellariidae,grazina-delicada,Soft-plumaged Petrel,,
Pterodroma hasitata,Procellariiformes,Anatinae,Procellariidae,diablotim,Black-capped Petrel,EN,
Pterodroma incerta,Procellariiformes,Anatinae,Procellariidae,grazina-de-barriga-branca,Atlantic Petrel,EN,
Pterodroma lessonii,Procellariiformes,Anatinae,Procellariidae,grazina-de-cabeça-branca,White-headed Petrel,,
Pterodroma macroptera,Procellariiformes,Anatinae,Procellariidae,fura-buxo-de-cara-cinza,Great-winged Petrel,,
Pterodroma arminjoniana,Procellariiformes,Anatinae,Procellariidae,grazina-de-trindade,Trindade Petrel,VU,
Halobaena caerulea,Procellariiformes,Anatinae,Procellariidae,petrel-azul,Blue Petrel,,
Pachyptila vittata,Procellariiformes,Anatinae,Procellariidae,faigão-de-bico-largo,Broad-billed Prion,,
Pachyptila desolata,Procellariiformes,Anatinae,Procellariidae,faigão-rola,Antarctic Prion,,
Pachyptila belcheri,Procellariiformes,Anatinae,Procellariidae,faigão-de-bico-fino,Slender-billed Prion,,
Bulweria bulwerii,Procellariiformes,Anatinae,Procellariidae,alma-negra,Bulwer's Petrel,,
Procellaria cinerea,Procellariiformes,Anatinae,Procellariidae,pardela-cinza,Gray Petrel,NT,
Procellaria aequinoctialis,Procellariiformes,Anatinae,Procellariidae,pardela-preta,White-chinned Petrel,VU,
Procellaria conspicillata,Procellariiformes,Anatinae,Procellariidae,pardela-de-óculos,Spectacled Petrel,VU,
Calonectris borealis,Procellariiformes,Anatinae,Procellariidae,cagarra-grande,Cory's Shearwater,,
Calonectris edwardsii,Procellariiformes,Anatinae,Procellariidae,cagarra-de-cabo-verde,Cape Verde Shearwater,NT,
Puffinus griseus,Procellariiformes,Anatinae,Procellariidae,pardela-escura,Sooty Shearwater,NT,
Puffinus tenuirostris,Procellariiformes,Anatinae,Procellariidae,pardela-de-cauda-curta,Short-Tailed Shearwater,,
Puffinus gravis,Procellariiformes,Anatinae,Procellariidae,pardela-de-barrete,Great Shearwater,,
Puffinus puffinus,Procellariiformes,Anatinae,Procellariidae,pardela-sombria,Manx Shearwater,,
Puffinus assimilis,Procellariiformes,Anatinae,Procellariidae,pardela-pequena,Little Shearwater,,
Puffinus lherminieri,Procellariiformes,Anatinae,Procellariidae,pardela-de-asa-larga,Audubon's Shearwater,,
Fregetta grallaria,Procellariiformes,Oceanitinae,Hydrobatidae,painho-de-barriga-branca,White-bellied Storm-Petrel,,
Fregetta tropica,Procellariiformes,Oceanitinae,Hydrobatidae,painho-de-barriga-preta,Black-bellied Storm-Petrel,,
Oceanites oceanicus,Procellariiformes,Oceanitinae,Hydrobatidae,alma-de-mestre,Wilson's Storm-Petrel,,
Pelagodroma marina,Procellariiformes,Oceanitinae,Hydrobatidae,calcamar,White-faced Storm-Petrel,,
Oceanodroma castro,Procellariiformes,Hydrobatinae,Hydrobatidae,painho-da-ilha-da-madeira,Band-rumped Storm-Petrel,,
Oceanodroma leucorhoa,Procellariiformes,Hydrobatinae,Hydrobatidae,painho-de-cauda-furcada,Leach's Storm-Petrel,VU,
Pelecanoides magellani,Procellariiformes,Hydrobatinae,Pelecanoididae,petrel-mergulhador,Magellanic Diving-Petrel,,
Phaethon aethereus,Phaethontiformes,Hydrobatinae,Phaethontidae,rabo-de-palha,Red-billed Tropicbird,,
Phaethon rubricauda,Phaethontiformes,Hydrobatinae,Phaethontidae,rabo-de-palha-de-cauda-vermelha,Red-tailed Tropicbird,,
Phaethon lepturus,Phaethontiformes,Hydrobatinae,Phaethontidae,rabo-de-palha-de-bico-laranja,White-tailed Tropicbird,,
Ciconia maguari,Ciconiiformes,Hydrobatinae,Ciconiidae,maguari,Maguari Stork,,
Jabiru mycteria,Ciconiiformes,Hydrobatinae,Ciconiidae,tuiuiú,Jabiru,,
Mycteria americana,Ciconiiformes,Hydrobatinae,Ciconiidae,cabeça-seca,Wood Stork,,
Fregata magnificens,Suliformes,Hydrobatinae,Fregatidae,tesourão,Magnificent Frigatebird,,
Fregata minor,Suliformes,Hydrobatinae,Fregatidae,tesourão-grande,Great Frigatebird,,
Fregata ariel,Suliformes,Hydrobatinae,Fregatidae,tesourão-pequeno,Lesser Frigatebird,,
Morus capensis,Suliformes,Hydrobatinae,Sulidae,atobá-do-cabo,Cape Gannet,EN,
Morus serrator,Suliformes,Hydrobatinae,Sulidae,atobá-australiano,Australasian Gannet,,
Sula dactylatra,Suliformes,Hydrobatinae,Sulidae,atobá-grande,Masked Booby,,
Sula sula,Suliformes,Hydrobatinae,Sulidae,atobá-de-pé-vermelho,Red-footed Booby,,
Sula leucogaster,Suliformes,Hydrobatinae,Sulidae,atobá,Brown Booby,,
Nannopterum brasilianus,Suliformes,Hydrobatinae,Phalacrocoracidae,biguá,Neotropic Cormorant,,
Leucocarbo bransfieldensis,Suliformes,Hydrobatinae,Phalacrocoracidae,biguá-das-shetland,Antarctic Shag,,
Anhinga anhinga,Suliformes,Hydrobatinae,Anhingidae,biguatinga,Anhinga,,
Pelecanus occidentalis,Pelecaniformes,Hydrobatinae,Pelecanidae,pelicano,Brown Pelican,,
Tigrisoma lineatum,Pelecaniformes,Hydrobatinae,Ardeidae,socó-boi,Rufescent Tiger-Heron,,
Tigrisoma fasciatum,Pelecaniformes,Hydrobatinae,Ardeidae,socó-jararaca,Fasciated Tiger-Heron,,
Agamia agami,Pelecaniformes,Hydrobatinae,Ardeidae,garça-da-mata,Agami Heron,VU,
Cochlearius cochlearius,Pelecaniformes,Hydrobatinae,Ardeidae,arapapá,Boat-billed Heron,,
Zebrilus undulatus,Pelecaniformes,Hydrobatinae,Ardeidae,socoí-zigue-zague,Zigzag Heron,NT,
Botaurus pinnatus,Pelecaniformes,Hydrobatinae,Ardeidae,socó-boi-baio,Pinnated Bittern,,
Ixobrychus exilis,Pelecaniformes,Hydrobatinae,Ardeidae,socoí-vermelho,Least Bittern,,
Ixobrychus involucris,Pelecaniformes,Hydrobatinae,Ardeidae,socoí-amarelo,Stripe-backed Bittern,,
Nycticorax nycticorax,Pelecaniformes,Hydrobatinae,Ardeidae,socó-dorminhoco,Black-crowned Night-Heron,,
Nyctanassa violacea,Pelecaniformes,Hydrobatinae,Ardeidae,savacu-de-coroa,Yellow-crowned Night-Heron,,
Butorides striata,Pelecaniformes,Hydrobatinae,Ardeidae,socozinho,Striated Heron,,
Ardeola ralloides,Pelecaniformes,Hydrobatinae,Ardeidae,garça-caranguejeira,Squacco Heron,,
Bubulcus ibis,Pelecaniformes,Hydrobatinae,Ardeidae,garça-vaqueira,Cattle Egret,,
Ardea cinerea,Pelecaniformes,Hydrobatinae,Ardeidae,garça-moura-europeia,Gray Heron,,
Ardea herodias,Pelecaniformes,Hydrobatinae,Ardeidae,garça-azul-grande,Great Blue Heron,,
Ardea cocoi,Pelecaniformes,Hydrobatinae,Ardeidae,garça-moura,Cocoi Heron,,
Ardea purpurea,Pelecaniformes,Hydrobatinae,Ardeidae,garça-roxa,Purple Heron,,
Ardea alba,Pelecaniformes,Hydrobatinae,Ardeidae,garça-branca,Great Egret,,
Syrigma sibilatrix,Pelecaniformes,Hydrobatinae,Ardeidae,maria-faceira,Whistling Heron,,
Pilherodius pileatus,Pelecaniformes,Hydrobatinae,Ardeidae,garça-real,Capped Heron,,
Egretta tricolor,Pelecaniformes,Hydrobatinae,Ardeidae,garça-tricolor,Tricolored Heron,,
Egretta gularis,Pelecaniformes,Hydrobatinae,Ardeidae,garça-negra,Western Reef-Heron,,
Egretta garzetta,Pelecaniformes,Hydrobatinae,Ardeidae,garça-pequena-europeia,Little Egret,,
Egretta thula,Pelecaniformes,Hydrobatinae,Ardeidae,garça-branca-pequena,Snowy Egret,,
Egretta caerulea,Pelecaniformes,Hydrobatinae,Ardeidae,garça-azul,Little Blue Heron,,
Eudocimus ruber,Pelecaniformes,Hydrobatinae,Threskiornithidae,guará,Scarlet Ibis,,
Plegadis chihi,Pelecaniformes,Hydrobatinae,Threskiornithidae,caraúna,White-faced Ibis,,
Cercibis oxycerca,Pelecaniformes,Hydrobatinae,Threskiornithidae,trombeteiro,Sharp-tailed Ibis,,
Mesembrinibis cayennensis,Pelecaniformes,Hydrobatinae,Threskiornithidae,coró-coró,Green Ibis,,
Phimosus infuscatus,Pelecaniformes,Hydrobatinae,Threskiornithidae,tapicuru,Bare-faced Ibis,,
Theristicus caerulescens,Pelecaniformes,Hydrobatinae,Threskiornithidae,curicaca-real,Plumbeous Ibis,,
Theristicus caudatus,Pelecaniformes,Hydrobatinae,Threskiornithidae,curicaca,Buff-necked Ibis,,
Platalea leucorodia,Pelecaniformes,Hydrobatinae,Threskiornithidae,colhereiro-europeu,Eurasian Spoonbill,,
Platalea ajaja,Pelecaniformes,Hydrobatinae,Threskiornithidae,colhereiro,Roseate Spoonbill,,
Cathartes aura,Cathartiformes,Hydrobatinae,Cathartidae,urubu-de-cabeça-vermelha,Turkey Vulture,,
Cathartes burrovianus,Cathartiformes,Hydrobatinae,Cathartidae,urubu-de-cabeça-amarela,Lesser Yellow-headed Vulture,,
Cathartes melambrotus,Cathartiformes,Hydrobatinae,Cathartidae,urubu-da-mata,Greater Yellow-headed Vulture,,
Coragyps atratus,Cathartiformes,Hydrobatinae,Cathartidae,urubu,Black Vulture,,
Sarcoramphus papa,Cathartiformes,Hydrobatinae,Cathartidae,urubu-rei,King Vulture,,
Vultur gryphus,Cathartiformes,Hydrobatinae,Cathartidae,condor,Andean Condor,NT,
Pandion haliaetus,Accipitriformes,Hydrobatinae,Pandionidae,águia-pescadora,Osprey,,
Leptodon cayanensis,Accipitriformes,Hydrobatinae,Accipitridae,gavião-gato,Gray-headed Kite,,
Leptodon forbesi,Accipitriformes,Hydrobatinae,Accipitridae,gavião-gato-do-nordeste,White-collared Kite,EN,
Chondrohierax uncinatus,Accipitriformes,Hydrobatinae,Accipitridae,caracoleiro,Hook-billed Kite,,
Elanoides forficatus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-tesoura,Swallow-tailed Kite,,
Gampsonyx swainsonii,Accipitriformes,Hydrobatinae,Accipitridae,gaviãozinho,Pearl Kite,,
Elanus leucurus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-peneira,White-tailed Kite,,
Harpagus bidentatus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-ripina,Double-toothed Kite,,
Harpagus diodon,Accipitriformes,Hydrobatinae,Accipitridae,gavião-bombachinha,Rufous-thighed Kite,,
Circus cinereus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-cinza,Cinereous Harrier,,
Circus buffoni,Accipitriformes,Hydrobatinae,Accipitridae,gavião-do-banhado,Long-winged Harrier,,
Milvus migrans,Accipitriformes,Hydrobatinae,Accipitridae,milhafre-preto,Black Kite,,
Accipiter poliogaster,Accipitriformes,Hydrobatinae,Accipitridae,tauató-pintado,Gray-bellied Hawk,NT,
Accipiter superciliosus,Accipitriformes,Hydrobatinae,Accipitridae,tauató-passarinho,Tiny Hawk,,
Accipiter striatus,Accipitriformes,Hydrobatinae,Accipitridae,tauató-miúdo,Sharp-shinned Hawk,,
Accipiter bicolor,Accipitriformes,Hydrobatinae,Accipitridae,gavião-bombachinha-grande,Bicolored Hawk,,
Ictinia mississippiensis,Accipitriformes,Hydrobatinae,Accipitridae,sovi-do-norte,Mississippi Kite,,
Ictinia plumbea,Accipitriformes,Hydrobatinae,Accipitridae,sovi,Plumbeous Kite,,
Busarellus nigricollis,Accipitriformes,Hydrobatinae,Accipitridae,gavião-belo,Black-collared Hawk,,
Rostrhamus sociabilis,Accipitriformes,Hydrobatinae,Accipitridae,gavião-caramujeiro,Snail Kite,,
Helicolestes hamatus,Accipitriformes,Hydrobatinae,Accipitridae,gavião-do-igapó,Slender-billed Kite,,
Geranospiza caerulescens,Accipitriformes,Hydrobatinae,Accipitridae,gavião-pernilongo,Crane Hawk,,
