Ceratopipra cornuta,Passeriformes,Piprinae,Pipridae,dançador-de-crista,Scarlet-horned Manakin,,
Ceratopipra erythrocephala,Passeriformes,Piprinae,Pipridae,cabeça-de-ouro,Golden-headed Manakin,,
Ceratopipra rubrocapilla,Passeriformes,Piprinae,Pipridae,cabeça-encarnada,Red-headed Manakin,,
Ceratopipra chloromeros,Passeriformes,Piprinae,Pipridae,dançador-de-cauda-graduada,Round-tailed Manakin,,
Lepidothrix coronata,Passeriformes,Piprinae,Pipridae,uirapuru-de-chapéu-azul,Blue-crowned Manakin,,
Lepidothrix nattereri,Passeriformes,Piprinae,Pipridae,uirapuru-de-chapéu-branco,Snow-capped Manakin,,
Lepidothrix vilasboasi,Passeriformes,Piprinae,Pipridae,dançador-de-coroa-dourada,Golden-crowned Manakin,VU,
Lepidothrix iris,Passeriformes,Piprinae,Pipridae,cabeça-de-prata,Opal-crowned Manakin,VU,
Lepidothrix serena,Passeriformes,Piprinae,Pipridae,uirapuru-estrela,White-fronted Manakin,,
Lepidothrix suavissima,Passeriformes,Piprinae,Pipridae,dançador-do-tepui,Orange-bellied Manakin,,
Manacus manacus,Passeriformes,Piprinae,Pipridae,rendeira,White-bearded Manakin,,
Heterocercus aurantiivertex,Passeriformes,Piprinae,Pipridae,dançarino-de-crista-laranja,Orange-crowned Manakin,,
Heterocercus flavivertex,Passeriformes,Piprinae,Pipridae,dançarino-de-crista-amarela,Yellow-crowned Manakin,,
Heterocercus linteatus,Passeriformes,Piprinae,Pipridae,coroa-de-fogo,Flame-crowned Manakin,,
Machaeropterus regulus,Passeriformes,Piprinae,Pipridae,tangará-rajado,Striped Manakin,,
Machaeropterus striolatus,Passeriformes,Piprinae,Pipridae,tangará-riscado,Western Striped Manakin,,
Machaeropterus pyrocephalus,Passeriformes,Piprinae,Pipridae,uirapuru-cigarra,Fiery-capped Manakin,,
Dixiphia pipra,Passeriformes,Piprinae,Pipridae,cabeça-branca,White-crowned Manakin,,
Xenopipo uniformis,Passeriformes,Ilicurinae,Pipridae,dançarino-oliváceo,Olive Manakin,,
Xenopipo atronitens,Passeriformes,Ilicurinae,Pipridae,pretinho,Black Manakin,,
Ilicura militaris,Passeriformes,Ilicurinae,Pipridae,tangarazinho,Pin-tailed Manakin,,
Corapipo gutturalis,Passeriformes,Ilicurinae,Pipridae,dançarino-de-garganta-branca,White-throated Manakin,,
Chiroxiphia pareola,Passeriformes,Ilicurinae,Pipridae,tangará-príncipe,Blue-backed Manakin,,
Chiroxiphia caudata,Passeriformes,Ilicurinae,Pipridae,tangará,Swallow-tailed Manakin,,
Antilophia bokermanni,Passeriformes,Ilicurinae,Pipridae,soldadinho-do-araripe,Araripe Manakin,CR,
Antilophia galeata,Passeriformes,Ilicurinae,Pipridae,soldadinho,Helmeted Manakin,,
Oxyruncus cristatus,Passeriformes,Ilicurinae,Oxyruncidae,araponga-do-horto,Sharpbill,,
Onychorhynchus coronatus,Passeriformes,Ilicurinae,Onychorhynchidae,maria-leque,Royal Flycatcher,,
Onychorhynchus swainsoni,Passeriformes,Ilicurinae,Onychorhynchidae,maria-leque-do-sudeste,Atlantic Royal Flycatcher,VU,
Terenotriccus erythrurus,Passeriformes,Ilicurinae,Onychorhynchidae,papa-moscas-uirapuru,Ruddy-tailed Flycatcher,,
Myiobius barbatus,Passeriformes,Ilicurinae,Onychorhynchidae,assanhadinho,Whiskered Flycatcher,,
Myiobius atricaudus,Passeriformes,Ilicurinae,Onychorhynchidae,assanhadinho-de-cauda-preta,Black-tailed Flycatcher,,
Schiffornis major,Passeriformes,Schiffornithinae,Tityridae,flautim-ruivo,Varzea Schiffornis,,
Schiffornis virescens,Passeriformes,Schiffornithinae,Tityridae,flautim,Greenish Schiffornis,,
Schiffornis turdina,Passeriformes,Schiffornithinae,Tityridae,flautim-marrom,Thrush-like Schiffornis,,
